"(tBodyAccMean,gravity)" "(tBodyAccJerkMean),gravityMean)" "(tBodyGyroMean,gravityMean)" "(tBodyGyroJerkMean,gravityMean)" "(X,gravityMean)" "(Y,gravityMean)" "(Z,gravityMean)" "label" "class" "subject"
"17" -0.0014463033 -0.048109773 -0.34047349 -0.22915457 -0.75917219 0.26432447 0.027014344 "standing" "train" "1"
"18" -0.028331858 0.092367048 -0.82223861 0.36755744 -0.75936327 0.26403279 0.029664019 "standing" "train" "1"
"19" -0.16584915 -0.033006915 -0.24057155 0.78819291 -0.76105187 0.26288599 0.029345734 "standing" "train" "1"
"20" 0.24493131 0.10256897 0.066134774 -0.41172948 -0.76062023 0.26316935 0.029573033 "standing" "train" "1"
"21" 0.16060735 0.19777391 0.25765721 -0.38110213 -0.76052773 0.26318349 0.030288454 "standing" "train" "1"
"22" -0.002320184 0.15039083 0.14233132 -0.85371129 -0.7620229 0.26217028 0.029986987 "standing" "train" "1"
"23" -0.032337498 -0.30129838 0.13257596 -0.022379316 -0.76150888 0.26255006 0.02963917 "standing" "train" "1"
"24" -0.54288424 -0.24954451 0.0069861792 -0.23519954 -0.75896013 0.26425623 0.030456029 "standing" "train" "1"
"25" -0.02144554 0.33700987 -0.43668499 -0.62292202 -0.75897692 0.26422361 0.030743151 "standing" "train" "1"
"26" 0.025651991 0.066502648 -0.22631551 -0.22535799 -0.76219671 0.26209013 0.029403668 "standing" "train" "1"
"27" 0.23106031 0.42928253 0.68115429 0.81522562 -0.76370208 0.26110336 0.028562963 "standing" "train" "1"
"28" 0.013525973 0.043354353 0.021485361 0.046689153 -0.66708465 0.054216165 -0.21887457 "sitting" "train" "1"
"29" 0.19473475 -0.14805562 0.033529451 -0.12702787 -0.56480737 -0.027044798 -0.26605456 "sitting" "train" "1"
"30" -0.22868834 -0.097214562 0.024191641 0.0063291237 -0.57936742 -0.021566893 -0.2575301 "sitting" "train" "1"
"31" 0.17922318 0.077594975 0.05634828 -0.31672663 -0.58280626 -0.020755925 -0.25526977 "sitting" "train" "1"
"32" 0.11475995 0.11443621 -0.07078246 -0.0014609828 -0.5529392 -0.053538987 -0.26042439 "sitting" "train" "1"
"33" -0.0049131687 0.033987522 -0.036067731 0.20511256 -0.41836808 -0.14254902 -0.30588383 "sitting" "train" "1"
"34" -0.012337932 0.09462246 0.029126625 -0.13424521 -0.30588411 -0.21333904 -0.33700092 "sitting" "train" "1"
"35" 0.096193097 -0.13137498 0.07763988 -0.037327157 -0.30919487 -0.22111662 -0.32645795 "sitting" "train" "1"
"36" 0.064398152 0.30092387 0.11765544 -0.046454587 -0.3167322 -0.21772934 -0.32332877 "sitting" "train" "1"
"37" -0.0081442943 0.55931755 0.14252698 -0.016025225 -0.31457502 -0.2189352 -0.32398842 "sitting" "train" "1"
"38" -0.074261928 0.32451133 0.16126969 0.19214051 -0.31488562 -0.21916689 -0.32348431 "sitting" "train" "1"
"39" 0.32125029 -0.050327903 0.58427998 -0.42619826 -0.65435613 0.0061411057 -0.21275283 "sitting" "train" "1"
"40" -0.033284006 -0.19260855 0.61787351 -0.51240546 -0.65078203 -0.0030485384 -0.21119617 "sitting" "train" "1"
"41" -0.14377558 -0.23515452 0.6898658 -0.57356057 -0.64514606 -0.013061244 -0.21042962 "sitting" "train" "1"
"42" 0.0081153282 0.10676135 0.90058887 -0.79404589 -0.64657849 -0.012405519 -0.20965049 "sitting" "train" "1"
"43" 0.046188031 0.25128679 -0.50686484 -0.58307176 -0.64706219 -0.011866506 -0.20955912 "sitting" "train" "1"
"44" 0.046127321 0.11245051 -0.51991455 -0.1345512 -0.64510509 -0.014516278 -0.20966409 "sitting" "train" "1"
"45" 0.12484387 -0.37842415 -0.64146618 0.34144511 -0.64633366 -0.014783523 -0.20853819 "sitting" "train" "1"
"46" 0.033193662 0.33145252 -0.69379323 0.39525282 -0.64799745 -0.014168187 -0.20755542 "sitting" "train" "1"
"47" -0.10809173 0.37117217 -0.50042806 0.45499243 -0.64625395 -0.016451134 -0.20766551 "sitting" "train" "1"
"48" -0.13257887 -0.3455624 0.28920185 0.35513802 -0.64604389 -0.016965715 -0.20754128 "sitting" "train" "1"
"49" 0.026541028 -0.28682071 0.78579004 -0.30085729 -0.6448514 -0.017046458 -0.20844898 "sitting" "train" "1"
"50" 0.12651185 0.63738869 -0.081017137 -0.18724907 -0.64322033 -0.018360329 -0.20900476 "sitting" "train" "1"
"51" -0.17506813 0.26602165 0.28531486 0.46516674 -0.64545984 -0.017047243 -0.20796204 "sitting" "train" "1"
"52" -0.068579898 -0.043105439 -0.33224851 0.48750525 0.43247853 -0.55335148 -0.43287564 "laying" "train" "1"
"53" -0.11304794 0.2230381 -0.39307466 0.35903715 0.39985328 -0.55036444 -0.42759273 "laying" "train" "1"
"54" 0.29314485 -0.018634898 -0.24697972 0.45392312 0.39906577 -0.54672465 -0.43124421 "laying" "train" "1"
"55" 0.24052574 0.14980436 0.39361091 0.38671913 0.39955483 -0.54647681 -0.43164599 "laying" "train" "1"
"56" -0.3475187 -0.46915484 0.30885489 -0.35414624 0.3988886 -0.54671226 -0.43120727 "laying" "train" "1"
"57" -0.32766133 -0.68930255 0.3970348 -0.31091061 0.39889738 -0.54685884 -0.43105379 "laying" "train" "1"
"58" 0.75108897 0.62643178 0.26340094 -0.64622507 0.39888109 -0.54671715 -0.43119994 "laying" "train" "1"
"59" 0.1984363 0.24170201 -0.011946523 -0.096104861 0.39877771 -0.54624972 -0.43166802 "laying" "train" "1"
"60" -0.04668923 -0.28293035 0.54143233 0.72789465 0.39801973 -0.54555047 -0.43219711 "laying" "train" "1"
"61" -0.32827504 0.4471505 0.079283632 -0.10864223 0.39713425 -0.54467991 -0.43287147 "laying" "train" "1"
"62" -0.24098166 -0.54438787 -0.22899482 -0.0394232 0.3973035 -0.54419774 -0.43343266 "laying" "train" "1"
"63" -0.19654365 -0.66501733 0.77209584 0.77533358 0.39775801 -0.54444236 -0.43330166 "laying" "train" "1"
"64" 0.17020304 0.31062453 0.66355547 0.33782105 0.39779057 -0.54399111 -0.43379089 "laying" "train" "1"
"65" 0.033487856 0.061567529 -0.51443817 0.24094286 0.20575936 -0.53610387 -0.36073577 "laying" "train" "1"
"66" 0.15344055 -0.52867805 -0.47888762 0.38887011 0.27854399 -0.54409199 -0.38929322 "laying" "train" "1"
"67" 0.13947517 0.039215644 -0.49530282 0.082695923 0.27208294 -0.53412217 -0.39742768 "laying" "train" "1"
"68" 0.0024180696 -0.0023661425 -0.10187764 0.5432066 0.37879154 -0.48844315 -0.48705651 "laying" "train" "1"
"69" -0.10939184 0.12117887 0.0027494525 0.09802774 0.50238617 -0.43127083 -0.57287374 "laying" "train" "1"
"70" -0.11676857 -0.39140411 0.41359636 0.051019612 0.49453529 -0.46594003 -0.53580206 "laying" "train" "1"
"71" 0.15282962 0.14960236 0.12724505 0.19285207 0.50873322 -0.49613177 -0.50619728 "laying" "train" "1"
"72" 0.12310816 0.43253974 -0.083445798 0.025647796 0.66828427 -0.3366412 -0.67268482 "laying" "train" "1"
"73" -0.00079280359 0.26718947 -0.18620193 0.098098759 0.79297021 -0.034019619 -0.92814826 "laying" "train" "1"
"74" 0.44722533 0.022634024 -0.051352659 0.15633378 0.79692828 0.12501854 -0.97719373 "laying" "train" "1"
"75" -0.028318727 -0.11511494 -0.044386256 0.058185081 0.79739372 0.13180225 -0.97526294 "laying" "train" "1"
"76" -0.13157685 0.56561658 -0.010565179 0.046694737 0.79917435 0.11596031 -0.97723061 "laying" "train" "1"
"77" 0.089427765 -0.19193509 0.3777409 0.071105431 0.79725696 0.11174753 -0.97914858 "laying" "train" "1"
"78" 0.13874217 -0.47911601 0.26332158 -0.41201595 0.79641242 0.1079178 -0.98014271 "laying" "train" "1"
"79" -0.16088312 0.56473632 0.91247322 -0.41283607 -0.77370661 0.25243212 0.044098743 "walking" "train" "1"
"80" -0.021976855 0.50660939 -0.70005302 -0.84094295 -0.76716315 0.25691881 0.044637597 "walking" "train" "1"
"81" 0.37204103 -0.10618357 -0.92383533 0.34445919 -0.75741393 0.2644517 0.039416823 "walking" "train" "1"
"82" -0.37857364 -0.58207333 -0.88634874 0.063337412 -0.76253431 0.26085042 0.03973498 "walking" "train" "1"
"83" -0.072906378 0.65684208 -0.29120005 0.077922024 -0.76396808 0.25962894 0.041412489 "walking" "train" "1"
"84" 0.22793831 0.011124233 0.27225381 0.20734525 -0.76618572 0.25825832 0.040128173 "walking" "train" "1"
"85" -0.14821824 -0.55225485 0.20524431 0.37750041 -0.77667683 0.2512184 0.038105042 "walking" "train" "1"
"86" 0.17547688 0.5515122 -0.2214606 -0.68819132 -0.78422533 0.24608543 0.037162294 "walking" "train" "1"
"87" -0.51615414 0.46159389 0.92173483 -0.36722405 -0.7601763 0.26295137 0.035725938 "walking" "train" "1"
"88" -0.076905525 0.52565944 0.50002769 -0.64330959 -0.76411341 0.25875981 0.046412684 "walking" "train" "1"
"89" 0.83477099 -0.8490253 -0.3573275 -0.17031316 -0.76548846 0.25819326 0.043972437 "walking" "train" "1"
"90" -0.15813633 -0.75918859 -0.27099476 0.20183852 -0.76460055 0.25932627 0.040396555 "walking" "train" "1"
"91" -0.16575559 0.64827164 0.30336778 0.82213587 -0.76024173 0.2615288 0.04604602 "walking" "train" "1"
"92" -0.040030437 0.25725166 0.076090927 -0.12342479 -0.75288184 0.26672866 0.045691901 "walking" "train" "1"
"93" -0.42271263 -0.35621295 -0.40372804 -0.16908718 -0.75597648 0.2649955 0.042851381 "walking" "train" "1"
"94" 0.74829284 0.66857957 -0.45945502 0.29156957 -0.76399734 0.25941575 0.042765051 "walking" "train" "1"
"95" 0.59246294 -0.44826785 -0.57921451 0.83663794 -0.76801471 0.25690064 0.040754297 "walking" "train" "1"
"96" -0.43891064 -0.71003497 0.12101795 -0.023407756 -0.76947723 0.25616716 0.038575391 "walking" "train" "1"
"97" -0.53871718 0.8332005 0.45768198 0.21152652 -0.77673604 0.25140647 0.036180384 "walking" "train" "1"
"98" 0.46065487 0.76516157 0.4247569 0.16746267 -0.78696273 0.24447112 0.034676619 "walking" "train" "1"
"99" -0.053158354 0.51281049 -0.81151796 0.58162436 -0.76418507 0.26056458 0.031442044 "walking" "train" "1"
"100" 0.46621078 -0.20565207 -0.28260079 0.20717511 -0.75699771 0.26332065 0.048844258 "walking" "train" "1"
"101" -0.084549802 -0.49741856 0.1623525 -0.40839732 -0.75073949 0.26801857 0.046982881 "walking" "train" "1"
"102" 0.71764533 0.40158125 -0.038345181 -0.59363242 -0.74996259 0.26915125 0.04310044 "walking" "train" "1"
"103" 0.37336847 -0.35811766 -0.025813658 0.81016875 -0.75120873 0.26841942 0.042116144 "walking" "train" "1"
"104" -0.52286534 0.64442513 0.42702112 0.69713795 -0.75218118 0.26797457 0.040347067 "walking" "train" "1"
"105" 0.71584814 0.22824358 0.27738394 -0.3181535 -0.7619169 0.26152893 0.037684434 "walking" "train" "1"
"106" -0.035510438 -0.76058469 0.53523006 -0.95704997 -0.77319853 0.25403912 0.034528797 "walking" "train" "1"
"107" -0.37499496 0.1470973 -0.33879548 -0.45447474 -0.77733154 0.25108876 0.035313655 "walking" "train" "1"
"108" 0.48545168 0.47631361 -0.55060078 0.38929078 -0.77943645 0.24935545 0.037651666 "walking" "train" "1"
"109" -0.010248344 -0.57920427 -0.52120301 0.81051739 -0.77000474 0.25555509 0.040457219 "walking" "train" "1"
"110" -0.42176414 -0.47110605 0.077417664 0.23720933 -0.7560886 0.26439169 0.046294293 "walking" "train" "1"
"111" -0.33648462 0.37374111 0.59714629 -0.25718761 -0.75778247 0.26295042 0.047822052 "walking" "train" "1"
"112" -0.29049752 -0.23093314 0.95537902 -0.60320895 -0.75507581 0.26481403 0.048003415 "walking" "train" "1"
"113" 0.83301086 0.31939064 0.94611355 -0.029271039 -0.74751728 0.26945243 0.051664332 "walking" "train" "1"
"114" -0.065760837 -0.7654997 0.81045343 0.090854819 -0.75069611 0.26826977 0.045597275 "walking" "train" "1"
"115" -0.47359098 0.65303539 0.66434419 0.68168783 -0.75566247 0.2654056 0.041470049 "walking" "train" "1"
"116" 0.68484069 0.4245158 -0.28466332 -0.02191848 -0.76618025 0.25860267 0.037375875 "walking" "train" "1"
"117" -0.12170776 -0.30020595 -0.81356582 -0.88840398 -0.76954206 0.25658101 0.03447432 "walking" "train" "1"
"118" -0.57666618 0.39849935 -0.44781597 -0.57907084 -0.7719047 0.25505965 0.033260354 "walking" "train" "1"
"119" 0.42467652 -0.19248754 -0.35235942 0.30934178 -0.77791642 0.25093636 0.032785826 "walking" "train" "1"
"120" 0.6591435 -0.36738433 -0.27464465 0.29281557 -0.77476745 0.25301468 0.033888562 "walking" "train" "1"
"121" 0.054138412 -0.49260697 0.61509501 0.34694004 -0.77410047 0.25368941 0.031546631 "walking" "train" "1"
"122" -0.23714141 -0.58315439 0.12118408 -0.14003014 -0.78088346 0.24898628 0.031598306 "walking" "train" "1"
"123" -0.29648464 0.62360422 -0.29983873 0.17593404 -0.78315381 0.2467452 0.037846728 "walking" "train" "1"
"124" 0.61518638 0.57129985 0.14377925 0.24049455 -0.77995361 0.24786871 0.045255654 "walking" "train" "1"
"125" 0.47967911 -0.57121845 0.43589524 -0.4359208 -0.77136308 0.25333715 0.048346543 "walking" "train" "1"
"126" -0.29478758 -0.58219156 0.046130951 -0.11267281 -0.76834002 0.25671218 0.04047408 "walking_downstairs" "train" "1"
"127" -0.27280475 0.31599328 0.78368616 -0.28801006 -0.79076448 0.24204769 0.032582417 "walking_downstairs" "train" "1"
"128" -0.048504176 0.65302246 0.97222546 0.53088187 -0.80223567 0.23416634 0.03181717 "walking_downstairs" "train" "1"
"129" 0.0002111819 0.068551448 0.9559579 -0.61674812 -0.80361895 0.23163941 0.0432366 "walking_downstairs" "train" "1"
"130" -0.027583444 0.43260954 -0.94339025 0.10783032 -0.80066823 0.2330244 0.046864574 "walking_downstairs" "train" "1"
"131" 0.14026293 -0.11667228 0.97504002 0.59427029 -0.81288865 0.22555373 0.040876867 "walking_downstairs" "train" "1"
"132" -0.10219588 -0.044056353 -0.7381244 -0.57629736 -0.81139678 0.2254286 0.047016364 "walking_downstairs" "train" "1"
"133" 0.16759932 0.013802323 -0.96012461 -0.081783026 -0.80292139 0.23205458 0.04364982 "walking_downstairs" "train" "1"
"134" 0.87380452 -0.31511598 -0.96052104 0.6780769 -0.81063529 0.22840498 0.031154035 "walking_downstairs" "train" "1"
"135" 0.0036457563 -0.70599428 0.97719878 -0.17469092 -0.74616191 0.26903773 0.058288331 "walking_downstairs" "train" "1"
"136" -0.84313052 0.63529226 0.90550674 0.34340883 -0.76198546 0.26221497 0.029717335 "walking_downstairs" "train" "1"
"137" 0.15955066 0.73119969 0.93544907 -0.10169421 -0.75577641 0.26627029 0.032871071 "walking_downstairs" "train" "1"
"138" 0.55956195 -0.96475986 0.79868342 -0.48699185 -0.74364203 0.27312025 0.04607592 "walking_downstairs" "train" "1"
"139" -0.69385429 0.4357557 -0.95471837 0.777159 -0.74323259 0.27399058 0.041975445 "walking_downstairs" "train" "1"
"140" 0.37819639 0.89406394 0.81262226 -0.42418728 -0.75071346 0.26723556 0.051523193 "walking_downstairs" "train" "1"
"141" 0.059454212 -0.80086552 -0.8498753 -0.69890601 -0.75537696 0.26391824 0.051741178 "walking_downstairs" "train" "1"
"142" -0.34704158 -0.091058847 -0.92661511 0.43406952 -0.77116188 0.25543401 0.0347066 "walking_downstairs" "train" "1"
"143" -0.67225056 -0.15287033 0.98528388 -0.25487954 -0.73992624 0.2749719 0.050583388 "walking_downstairs" "train" "1"
"144" -0.22526161 0.78561174 0.89384002 0.70163071 -0.75769767 0.26469515 0.035488357 "walking_downstairs" "train" "1"
"145" 0.4748558 -0.59749347 0.88926742 -0.31500941 -0.76622434 0.25845668 0.038349993 "walking_downstairs" "train" "1"
"146" -0.2370696 0.34048259 0.60283 -0.56106925 -0.75066909 0.26901477 0.0404382 "walking_downstairs" "train" "1"
"147" -0.41386925 0.63455565 0.75106907 0.43428316 -0.75120111 0.26985222 0.02665056 "walking_downstairs" "train" "1"
"148" 0.04669575 0.47576979 0.90680065 -0.3718553 -0.768861 0.25640384 0.040068354 "walking_downstairs" "train" "1"
"149" 0.48381847 -0.71249167 -0.87252148 -0.75581112 -0.7628088 0.25777357 0.056051285 "walking_downstairs" "train" "1"
"150" 0.38920285 -0.63506503 -0.92045544 0.29352932 -0.77094316 0.25499331 0.039774255 "walking_downstairs" "train" "1"
"151" 0.19879937 -0.51505756 -0.96080814 0.7985946 -0.73017965 0.2757426 0.07579027 "walking_upstairs" "train" "1"
"152" -0.18331228 -0.3667143 -0.93236073 0.25738996 -0.69548078 0.30321441 0.06548249 "walking_upstairs" "train" "1"
"153" -0.1407953 -0.23543106 -0.90487149 -0.52482434 -0.68162013 0.31183747 0.070519284 "walking_upstairs" "train" "1"
"154" -0.099332088 -0.41396963 -0.96882118 -0.13238444 -0.68671499 0.30824283 0.07046834 "walking_upstairs" "train" "1"
"155" 0.36059354 0.45574436 0.77762772 -0.057846298 -0.69326684 0.30613251 0.058967406 "walking_upstairs" "train" "1"
"156" 0.4988535 0.17975753 -0.81893707 -0.056916321 -0.69838906 0.30487801 0.04432452 "walking_upstairs" "train" "1"
"157" 0.44384079 -0.19936679 0.68445055 0.7619962 -0.70225292 0.3030356 0.036457046 "walking_upstairs" "train" "1"
"158" -0.051123149 0.27991467 0.98410874 0.60052315 -0.69189005 0.30912876 0.046414441 "walking_upstairs" "train" "1"
"159" 0.33503114 -0.81783331 -0.96326651 -0.90429865 -0.69766239 0.30165425 0.065570448 "walking_upstairs" "train" "1"
"160" 0.72412943 -0.1428426 -0.9582639 -0.76743671 -0.6624351 0.32717524 0.061988673 "walking_upstairs" "train" "1"
"161" -0.51544561 0.57852942 -0.9504282 0.71558502 -0.65764544 0.33047549 0.062285324 "walking_upstairs" "train" "1"
"162" -0.57843106 0.66116597 -0.93145881 0.70074975 -0.65803196 0.33079212 0.059060388 "walking_upstairs" "train" "1"
"163" -0.85720771 -0.66155416 -0.34486379 -0.70088839 -0.6622363 0.32785803 0.05902543 "walking_upstairs" "train" "1"
"164" -0.93959762 -0.64740618 -0.75325266 0.14181552 -0.66711711 0.32503511 0.055574652 "walking_upstairs" "train" "1"
"165" -0.075581198 -0.48869251 0.90446074 0.8452506 -0.66740046 0.32488244 0.055298125 "walking_upstairs" "train" "1"
"166" 0.0097332985 -0.28614214 0.97446978 -0.3648809 -0.65349636 0.33266801 0.065948064 "walking_upstairs" "train" "1"
"167" 0.14070982 -0.046210397 0.89138134 -0.66297018 -0.64409123 0.33851074 0.069627037 "walking_upstairs" "train" "1"
"168" 0.1357776 0.65911929 -0.98446146 0.6745563 -0.6951592 0.3046152 0.059935331 "walking_upstairs" "train" "1"
"169" 0.55731846 0.49148199 -0.93148578 -0.11666241 -0.66946551 0.32223489 0.062046429 "walking_upstairs" "train" "1"
"170" -0.71960808 -0.1929279 -0.9617746 0.134304 -0.66297323 0.3267754 0.062107659 "walking_upstairs" "train" "1"
"171" -0.50251754 -0.36869434 -0.82309387 0.52815428 -0.66245366 0.32884307 0.051988307 "walking_upstairs" "train" "1"
"172" 0.12454781 -0.6125359 0.8438726 -0.3301331 -0.67139987 0.32196274 0.056063969 "walking_upstairs" "train" "1"
"173" 0.3114788 -0.69596236 -0.79106077 -0.10787926 -0.67401303 0.31895999 0.062474717 "walking_upstairs" "train" "1"
"174" 0.32295673 -0.78134994 0.49894968 0.83639545 -0.67132627 0.32217212 0.055110737 "walking_upstairs" "train" "1"
"175" 0.57964835 0.88892135 0.9748135 -0.48819893 -0.67025574 0.32338923 0.052108254 "walking_upstairs" "train" "1"
"176" 0.1115831 0.93889357 0.96284575 -0.83677329 -0.66780836 0.32367924 0.060558758 "walking_upstairs" "train" "1"
"177" 0.028361989 -0.13718633 -0.07401622 0.022322308 -0.68758294 0.31384947 0.01011299 "standing" "train" "1"
"178" -0.14376233 0.098199998 -0.28162935 -0.19425844 -0.6766057 0.32153802 0.014515193 "standing" "train" "1"
"179" 0.010377466 -0.27618466 -0.42210143 0.42853895 -0.68048708 0.31888283 0.017799085 "standing" "train" "1"
"180" 0.054748178 0.0027163858 -0.078145291 -0.6322433 -0.68619309 0.31490527 0.013691468 "standing" "train" "1"
"181" 0.0052107625 -0.095086337 -0.050689182 -0.0047164604 -0.69201661 0.31090508 0.014964118 "standing" "train" "1"
"182" -0.0069710777 0.027412898 -0.20960312 0.5906994 -0.68794328 0.31373338 0.01680354 "standing" "train" "1"
"183" -0.013436815 0.089988168 0.46428678 0.17775453 -0.67958604 0.31949771 0.01961812 "standing" "train" "1"
"184" 0.0032083603 -0.085646783 0.17284861 -0.55360477 -0.6790157 0.31982772 0.023479353 "standing" "train" "1"
"185" 0.24244621 -0.72480872 -0.25227082 -0.65092773 -0.68062271 0.31871103 0.023753058 "standing" "train" "1"
"186" -0.03575083 -0.36823755 0.4662992 -0.30283138 -0.68100363 0.31847137 0.022789621 "standing" "train" "1"
"187" -0.11863967 0.88918291 0.38105975 -0.66521826 -0.68043619 0.3188366 0.023873965 "standing" "train" "1"
"188" 0.03780423 0.18846312 -0.77029175 -0.96593516 -0.68098471 0.31841571 0.025274454 "standing" "train" "1"
"189" 0.1203957 -0.045915955 -0.70710765 0.75697667 -0.6817239 0.31791099 0.025098201 "standing" "train" "1"
"190" -0.0076267665 0.051640438 0.66503384 0.6978666 -0.67929492 0.3195845 0.025221043 "standing" "train" "1"
"191" 0.028867111 0.0034231372 -0.054754888 0.018213871 -0.65124697 0.33663542 0.052067472 "standing" "train" "1"
"192" -0.079085731 0.0016007097 0.073096266 0.034849186 -0.68506822 0.31444188 0.041623348 "standing" "train" "1"
"193" 0.034156589 0.098201817 0.14324615 -0.22481975 -0.68125025 0.31683141 0.043941874 "standing" "train" "1"
"194" 0.084959972 -0.25383534 -0.4176409 0.12042845 -0.67884758 0.31814719 0.046814074 "standing" "train" "1"
"195" -0.07213169 0.14755993 -0.10237399 0.24058735 -0.67854439 0.31858003 0.045039815 "standing" "train" "1"
"196" -0.0081402896 0.36968302 0.1332106 -0.29510741 -0.67475318 0.3211037 0.045940993 "standing" "train" "1"
"197" 0.033310197 0.19362907 -0.079225517 -0.14071625 -0.67271545 0.32210519 0.049120769 "standing" "train" "1"
"198" -0.047896503 -0.22478485 0.57194267 0.51854371 -0.6738962 0.32102549 0.050938882 "standing" "train" "1"
"199" 0.24822775 0.060110753 0.12535657 -0.73318011 -0.67461259 0.32039249 0.051842136 "standing" "train" "1"
"200" 0.15846418 -0.17252289 -0.60514419 -0.92404508 -0.67548134 0.31978158 0.051877598 "standing" "train" "1"
"201" -0.084865325 -0.1132735 -0.4813523 0.6678405 -0.6771266 0.31874423 0.051146057 "standing" "train" "1"
"202" -0.15267538 -0.038355824 0.502899 0.7920501 -0.67817866 0.31805261 0.050865197 "standing" "train" "1"
"203" 0.21631925 0.055354542 0.026710708 0.087709768 -0.49836738 -0.13014451 -0.24711421 "sitting" "train" "1"
"204" 0.029821879 -0.22557966 0.026054289 -0.030513329 -0.49840221 -0.14479274 -0.23258583 "sitting" "train" "1"
"205" -0.28421485 0.23011627 0.016912386 -0.033570089 -0.51262349 -0.13508295 -0.22913879 "sitting" "train" "1"
"206" 0.12590441 0.35880448 -0.032778372 -0.08213084 -0.50918519 -0.13689363 -0.23053226 "sitting" "train" "1"
"207" -0.10301218 -0.16865654 -0.080069335 0.11226365 -0.50961215 -0.13694797 -0.23007489 "sitting" "train" "1"
"208" -0.078971596 0.1204378 -0.044956021 0.18634987 -0.50987777 -0.13670326 -0.23007427 "sitting" "train" "1"
"209" 0.12791399 0.38729149 -0.054848355 -0.20643432 -0.50864437 -0.13767151 -0.23024794 "sitting" "train" "1"
"210" 0.22738623 -0.087333575 -0.013407843 -0.27824649 -0.5093005 -0.13755096 -0.22975252 "sitting" "train" "1"
"211" 0.052237015 0.76215266 -0.21077356 0.021056765 -0.51060024 -0.13724409 -0.22883996 "sitting" "train" "1"
"212" -0.09995357 -0.40045489 0.37211879 0.32891426 -0.51071551 -0.13747018 -0.22849892 "sitting" "train" "1"
"213" 0.042951595 -0.7427346 0.67705907 0.36596223 -0.51046111 -0.13740687 -0.22880441 "sitting" "train" "1"
"214" -0.010812234 -0.169669 -0.32866121 0.39495665 0.319305 -0.58771761 -0.35850989 "laying" "train" "1"
"215" -0.028694225 0.032440249 -0.31966627 0.24647806 0.2893005 -0.58428327 -0.3488254 "laying" "train" "1"
"216" -0.14992992 -0.23618388 -0.29927181 0.35300313 0.27854931 -0.57777093 -0.35110356 "laying" "train" "1"
"217" 0.18017317 0.94585324 0.42434033 0.3085614 0.27813235 -0.57805995 -0.35056627 "laying" "train" "1"
"218" 0.71537085 0.17982271 0.31798145 -0.54269962 0.27705205 -0.5781225 -0.34996235 "laying" "train" "1"
"219" 0.0029729821 -0.42828951 0.41950589 0.12382634 0.2767261 -0.57817875 -0.34973662 "laying" "train" "1"
"220" -0.82704665 0.57163493 0.36261124 -0.67549796 0.27641877 -0.57772171 -0.35011159 "laying" "train" "1"
"221" 0.54063499 0.44162826 -0.21255616 -0.49851324 0.27630488 -0.57760254 -0.35019265 "laying" "train" "1"
"222" 0.51916255 -0.77063046 -0.57478634 0.84413854 0.27664001 -0.57782385 -0.35010314 "laying" "train" "1"
"223" -0.31021626 -0.097340811 -0.7952737 0.041104913 0.27650352 -0.57768574 -0.35019491 "laying" "train" "1"
"224" -0.31186766 0.090709232 0.86633615 -0.62740669 0.27682914 -0.57746589 -0.35060889 "laying" "train" "1"
